n,1,2,3,4,5
0.7,0.010033556533603738,0.03582758132903829,0.08045144930971859,0.1498697079683797,0.2567749310373823
0.75,0.010791860409709322,0.03883073638603542,0.08771579418478286,0.16428431484408074,0.28326077296712854
0.8,0.011555681945352003,0.04192882398981093,0.09532753592998144,0.179603794048832,0.3120201807734017
0.85,0.01232500865390691,0.04512515987417483,0.10331176385840504,0.19591801458502836,0.3434195860394423
0.9,0.0130998264257012,0.048421177355396125,0.11169182134447819,0.21331776136630978,0.3779083410747596
0.95,0.013880119505233091,0.051816484735157736,0.12048964733554285,0.23189454535940804,0.4163035933215426
1.05,0.015457060205516926,0.05889522290180691,0.1394214181193843,0.27294441836395283,0.49930805422241237
1.1,0.016253667893641358,0.06257033494623916,0.14959506572275943,0.29559541976920234,0.5498898218776587
1.15,0.017055670984281592,0.06632857453269052,0.16026610974742433,0.3197751810055598,0.6045732113540262
1.2,0.017863045182369364,0.07016340325456932,0.17145295521177414,0.34555804521949934,0.6639920195202321
1.25,0.018675764429451017,0.07406773486004575,0.18317315602286932,0.37300771555801016,0.7283234570470015
1.0,0.014665870469129316,0.05530901339430695,0.12972613352974866,0.25173995272590666,0.45568360503051103
