n,1,2,3,4,5,6,7,8,9,10,11,12,13
0.7,0.0015210149163380933,0.005429043017380647,0.011829058966968916,0.020834322880521866,0.032596557060468725,0.047319615497299634,0.06527488027176835,0.08682200037017827,0.11243905471563674,0.14276802949276443,0.17868573340584937,0.221418848027843,0.27273999711178054
0.75,0.001632405375920843,0.005885009155987344,0.0128909814029062,0.02277938098661199,0.03572482753088978,0.051962844563189454,0.07180840339291861,0.09568083459085909,0.12414026686174263,0.15794285937089617,0.19812737452937337,0.2461563591666937,0.3041580232477589
0.8,0.0017441629920933236,0.0063568429405211485,0.014000037285331406,0.02481810663535523,0.03901131906303596,0.05685120506408574,0.07870292952292737,0.10505533685486593,0.1365653044572654,0.1741255102654904,0.21897151537193987,0.2728579177955587,0.33836311944053454
0.85,0.001856287884482804,0.006845347100284529,0.015158052426577862,0.026953040265622424,0.042459562894849964,0.06199013054394539,0.0859676959577129,0.11496206358504608,0.14974428766052614,0.1913706676692601,0.24131697666833302,0.3017021205370611,0.3756811065314423
0.9,0.0019687801584507892,0.007351051498771295,0.016366303407047166,0.029185835723813024,0.04607193061800808,0.06738374488899222,0.09361072676863438,0.12541695519538004,0.1637083588526069,0.2097378762192514,0.2652760130965268,0.3329001509392524,0.41651442690111345
0.95,0.002081639905054271,0.007874223673075215,0.017625599053076597,0.03151745301158452,0.049849976637231175,0.0730353866772204,0.1016395960309061,0.13643645797071033,0.17849143990631156,0.22929460343546373,0.29098038762859463,0.366709833930086,0.46137888455099973
1.05,0.0023084621048851824,0.008972873029214137,0.020298747754245845,0.03647855304563585,0.05790692746234653,0.08512464133165082,0.11888642014030963,0.16024294185074933,0.21067330209102336,0.27230417350954406,0.3482915622448302,0.44359630573311204,0.5661223022365821
1.1,0.002422424668163062,0.009547809090208803,0.021712652823072588,0.039107926237435815,0.06218718772437607,0.0915683568697733,0.12812207740341175,0.17307274845542692,0.22816696105221707,0.2959591843400143,0.38032738480664924,0.48817293868855843,0.6287231276011994
1.15,0.00253675492064136,0.010139196361864618,0.023177846059679978,0.04183610030190587,0.06663613775494812,0.09828270481037878,0.13777957318540773,0.18655391283400874,0.2466719755439938,0.32121538266772015,0.41499031101118483,0.5424425014427626,0.704065821609836
1.2,0.002651452879369276,0.010746418384997711,0.024693985231545184,0.04466260498331731,0.07125449745042596,0.105271678249043,0.14787087256170298,0.20071618388051432,0.26625725142298207,0.34823009526276627,0.45265257727716024,0.6425050355173852,0.8173550893571558
1.25,0.0027665185460948195,0.01136877373298985,0.02626066172791252,0.047586886129194615,0.07604313404092053,0.11253979748173702,0.1584094728275866,0.21559342481623991,0.28700295536010195,0.37719311840665604,0.49379482037151584,1.014454427996087,1.0951580657052529
1.0,0.0021948671997609956,0.008414891517122481,0.018936368776507465,0.03394833457362013,0.053794730095715476,0.07894803598559416,0.1100620391233995,0.14803844250797393,0.1941317735472829,0.2501192383548856,0.31858813300323524,0.4034532219882374,0.5109193008362817
