n,1,2,3,4,5,6,7,8
0.7,0.004324938053131468,0.015393921835260097,0.03381961667307151,0.060513545331896616,0.09692213292347354,0.145365492501976,0.2097053414738301,0.29683578266379207
0.75,0.004646397819237051,0.01668572962826237,0.03686000915089562,0.06621392589233423,0.10641939316818005,0.16017731396377718,0.23202201769598702,0.33013745748958295
0.8,0.004969530306281877,0.01802061077519193,0.04003774211315183,0.07221078816085966,0.11647383346014498,0.1759808540895738,0.25609103648645354,0.3666626900424607
0.85,0.005294334956145439,0.019400457116250176,0.04335945384882838,0.07851790015127579,0.12711544359092625,0.1928462024336523,0.28208650155941717,0.40698017990529
0.9,0.0056208110127912575,0.020826381999113183,0.04683041433224149,0.08514675762854508,0.13837174488497792,0.2108440617864464,0.3102009850615313,0.4521618167205172
0.95,0.005948957519737503,0.02229874915428666,0.05045472441770492,0.09210700304748143,0.15026873564294896,0.230048354046631,0.34065806908076635,0.5063367078534672
1.05,0.006610257043883317,0.025380922660466772,0.05817526209514944,0.10705312825930965,0.17608661793000777,0.27240603706621264,0.4096645544878436,0.5810139039217819
1.1,0.006943407124568845,0.02698837853837422,0.06227576255077316,0.1150519662648698,0.19005989215236524,0.29575149650859,0.4489726197711058,0.6480268869610541
1.15,0.007278221779317166,0.028637765793557167,0.06653848887219456,0.12340839456798353,0.20478022277686878,0.32069481841373015,0.4921021217467501,0.7143962977251008
1.2,0.007614699014833446,0.030326926239758616,0.07096459274384093,0.13212660431595386,0.22027882423546336,0.3473757085824622,0.5396744274106932,0.7839480310898037
1.25,0.007952836623690491,0.03205346489647722,0.0755549960684815,0.14120984858513125,0.23659027048533793,0.3759576837640696,0.5924411838613695,0.8573494430307361
1.0,0.006278773318299527,0.02381723679423431,0.05423553579662386,0.09940680086462864,0.16283180901845556,0.2505391683509261,0.37369873547156535,0.5409471624106653
