n,1,2,3,4,5,6,7,8,9,10
0.7,0.00719875524100892,0.02910822017171575,0.06846829884020074,0.1226062735483925,0.19333408035188462,0.2790458150594356,0.38124067341842255,0.500240794055533,0.6378260285484564,0.7992937645829813
0.75,0.007697121253662746,0.031795123047351256,0.07592395625376173,0.1367296781036833,0.21685877139465362,0.31415470817130703,0.43084587179894396,0.5670615339584726,0.725435756772122,0.9122675245535713
0.8,0.008193296281711464,0.034586389911348873,0.0838214797004104,0.15187695510359833,0.24228073211002882,0.3523460985124701,0.4850819944077575,0.6405459838682619,0.8223868008663704,1.038584531302086
0.85,0.008687267253901195,0.03748038172211652,0.09215866101274708,0.16808117574782436,0.26969157911988373,0.3937921972453528,0.5442425074852444,0.7211670857339305,0.9295037895943635,1.1799775496954612
0.9,0.009179021559259747,0.040474529550925925,0.10092997943582387,0.18536983538838317,0.2991771884463652,0.4386528094669928,0.6086010221745854,0.8093718327433503,1.0476378436114098,1.338681200237003
0.95,0.009668547045596717,0.04356562412263644,0.11012736260113047,0.20376555527322893,0.3308157832661616,0.48707043742388173,0.6783991669960746,0.9055633927553063,1.1776851369534236,1.518235741798918
1.05,0.010640865233517692,0.0500240104714739,0.1297586607995738,0.24394655038154683,0.4008096286069019,0.5950189729661212,0.8350300037601127,1.1231688417350718,1.4773457142217437,1.9434369974057748
1.1,0.011123635909241278,0.05338360372314548,0.140168226482346,0.2657551374391042,0.4392558194437822,0.6546826103948901,0.9220451298146749,1.2449694168401653,1.649693573054261,2.2118543905771824
1.15,0.011604133707084338,0.056824996155407516,0.15095566117221426,0.2887169959266051,0.4800294159427117,0.718151757352531,1.0148329388363653,1.3754914297532237,1.8396548080897441,2.5257488202188108
1.2,0.012082348739294955,0.06034446106366188,0.16210625526603895,0.3128316840147397,0.5231212757062795,0.7853675166837704,1.1132429760880254,1.5146110015802172,2.0507177872419944,2.898239601825355
1.25,0.012558271563765662,0.06393843312110212,0.17360448257478617,0.3380930525731527,0.5684943064234528,0.8562097457782032,1.2170135813770482,1.662078570115258,2.2887032366808544,3.342076660678881
1.0,0.010155832016853767,0.04675005683288065,0.11974077693951486,0.22328650598674393,0.3646752116142644,0.5391636193995467,0.7538317166839422,1.0100794567726001,1.3205172051471807,1.7157753422483786
