n,1,2,3,4,5,6,7,8,9,10
0.7,0.0011524943899899232,0.012764267821704913,0.02397966270869964,0.06006458729687349,0.08866008628233334,0.15735890473760808,0.21073656608700386,0.3237592209830083,0.4139196787733559,0.5934384031298634
0.75,0.001234732368310221,0.013699747425925862,0.02676505630026438,0.06554547533161718,0.09953986545246105,0.1733511943094339,0.23751544368909255,0.3593252272910757,0.4688806428989435,0.663723836867193
0.8,0.0013169556714375432,0.014638544464240223,0.02970202011080105,0.07130001294768724,0.11109700636917567,0.19044813501855404,0.2661546034620105,0.39786707719695535,0.5282686496039857,0.7414269273919761
0.85,0.0013991636260966714,0.01558068290328338,0.03278316752064775,0.07734858503606469,0.12333126774410748,0.20873892900880045,0.2967155399886972,0.43965449981878685,0.5924338486500776,0.8280025111145755
0.9,0.0014813555596317903,0.0165261855435618,0.03600062766083089,0.08370870488700008,0.13624415379597518,0.22830474095373113,0.32927347302771925,0.48494814280073123,0.6619293465765355,0.9266757674130334
0.95,0.001563530800100476,0.017475073983489207,0.03934637374268176,0.09039471492282958,0.149838934951007,0.249217603036097,0.3639158917464856,0.5340007480514498,0.7382953717528731,1.0518035578758564
1.05,0.0017278285153283464,0.019383088430049246,0.04639114783940214,0.10478529228190865,0.17909391341671152,0.2953228542203538,0.43984686879587775,0.6443664874768814,0.8939816648061713,1.156308793252148
1.1,0.0018099496502484338,0.02034225130452696,0.05007505989332873,0.11250219817349297,0.1947654341629432,0.32060822312264536,0.4813399495845904,0.706161989077254,0.9882920740310622,1.3043522244381809
1.15,0.0018920514103332468,0.021304873642892384,0.05385717728304469,0.12056997650295334,0.2111399537088943,0.3474258903324676,0.5253159905220954,0.7726800112107074,1.0875753372403467,1.4405544001469934
1.2,0.001974133127196214,0.02227097050571915,0.057730892487844084,0.12898748150397765,0.228221034059246,0.3757945198817772,0.5718609423778735,0.8441452212641852,1.1931884512237094,1.5783109210481285
1.25,0.002056194133088646,0.023240555543397056,0.06169000707508774,0.13775108504346292,0.24600992804899974,0.4057209227525617,0.621043810906954,0.9207653604792552,1.305421273004351,1.7195696150514441
1.0,0.0016456886754218705,0.018427368583034773,0.042812454281175936,0.09741765885676204,0.16412032522454237,0.2715396935714812,0.4007396494641419,0.5870592233873699,0.8126996126477394,1.0939735512830848
